timestamp,mode,battery_voltage,brownout,has_ds_connection,match_time,alliance,driver_station_position,has_fms_connection,is_sys_active,match_type,match_number,queue_index
153991,0,12.5799,0,1,-1,0,2,0,0,0,0,7652

154012,0,12.5674,0,1,-1,0,2,0,0,0,0,7653

154028,0,12.5736,0,1,-1,0,2,0,0,0,0,7654

154054,0,12.5799,0,1,-1,0,2,0,0,0,0,7655

154068,0,12.5862,0,1,-1,0,2,0,0,0,0,7656

154091,0,12.5862,0,1,-1,0,2,0,0,0,0,7657

154111,0,12.5736,0,1,-1,0,2,0,0,0,0,7658

154132,0,12.5736,0,1,-1,0,2,0,0,0,0,7659

154148,0,12.5799,0,1,-1,0,2,0,0,0,0,7660

154168,0,12.5925,0,1,-1,0,2,0,0,0,0,7661

154188,0,12.5799,0,1,-1,0,2,0,0,0,0,7662

154208,0,12.5674,0,1,-1,0,2,0,0,0,0,7663

154227,0,12.5799,0,1,-1,0,2,0,0,0,0,7664

154248,0,12.5736,0,1,-1,0,2,0,0,0,0,7665

154271,0,12.5674,0,1,-1,0,2,0,0,0,0,7666

154292,0,12.5736,0,1,-1,0,2,0,0,0,0,7667

154307,0,12.5862,0,1,-1,0,2,0,0,0,0,7668

154331,0,12.5862,0,1,-1,0,2,0,0,0,0,7669

154351,0,12.5799,0,1,-1,0,2,0,0,0,0,7670

154377,0,12.5674,0,1,-1,0,2,0,0,0,0,7671

154392,0,12.5799,0,1,-1,0,2,0,0,0,0,7672

154408,0,12.5925,0,1,-1,0,2,0,0,0,0,7673

154428,0,12.5862,0,1,-1,0,2,0,0,0,0,7674

154448,0,12.5736,0,1,-1,0,2,0,0,0,0,7675

154470,0,12.5925,0,1,-1,0,2,0,0,0,0,7676

154488,0,12.5925,0,1,-1,0,2,0,0,0,0,7677

154511,0,12.5736,0,1,-1,0,2,0,0,0,0,7678

154532,0,12.5862,0,1,-1,0,2,0,0,0,0,7679

154551,0,12.5736,0,1,-1,0,2,0,0,0,0,7680

154568,0,12.5799,0,1,-1,0,2,0,0,0,0,7681

154588,0,12.5736,0,1,-1,0,2,0,0,0,0,7682

154611,0,12.5799,0,1,-1,0,2,0,0,0,0,7683

154632,0,12.5799,0,1,-1,0,2,0,0,0,0,7684

154652,0,12.5674,0,1,-1,0,2,0,0,0,0,7685

154672,0,12.5674,0,1,-1,0,2,0,0,0,0,7686

154691,0,12.5674,0,1,-1,0,2,0,0,0,0,7687

154707,0,12.5799,0,1,-1,0,2,0,0,0,0,7688

154731,0,12.5611,0,1,-1,0,2,0,0,0,0,7689

